Category: All categories,,,,,
,,,,,
Day,TSLA: (United States),GOOGL: (United States),MSFT: (United States),AMZN: (United States),AAPL: (United States)
06/01/2020,22,5,9,11,11
06/02/2020,21,4,9,12,12
06/03/2020,17,5,10,12,12
06/04/2020,15,4,9,11,11
06/05/2020,15,4,10,12,14
06/06/2020,4,3,3,4,4
06/07/2020,3,2,2,2,2
06/08/2020,20,4,10,12,13
06/09/2020,23,5,11,17,17
06/10/2020,33,5,15,19,20
06/11/2020,32,5,15,19,20
06/12/2020,28,4,13,15,17
06/13/2020,6,2,3,4,4
06/14/2020,4,2,2,2,3
06/15/2020,21,4,10,13,14
06/16/2020,21,4,12,13,16
06/17/2020,19,4,11,13,16
06/18/2020,19,4,10,12,13
06/19/2020,18,3,11,13,16
06/20/2020,5,3,3,4,4
06/21/2020,3,2,2,3,3
06/22/2020,15,4,13,13,19
06/23/2020,16,4,15,17,23
06/24/2020,16,4,13,14,18
06/25/2020,17,4,11,14,16
06/26/2020,16,4,12,14,15
06/27/2020,5,2,3,4,4
06/28/2020,3,2,2,3,2
06/29/2020,15,4,10,13,15
06/30/2020,24,4,11,15,15
07/01/2020,28,4,11,17,14
07/02/2020,41,4,12,21,14
07/03/2020,14,3,4,7,5
07/04/2020,5,2,2,3,2
07/05/2020,5,2,2,3,2
07/06/2020,39,4,13,24,16
07/07/2020,48,4,14,24,17
07/08/2020,34,4,13,20,18
07/09/2020,31,4,14,23,18
07/10/2020,43,4,13,23,16
07/11/2020,15,2,4,6,4
07/12/2020,8,3,2,4,3
07/13/2020,76,4,14,27,22
07/14/2020,62,4,15,24,19
07/15/2020,42,4,14,22,20
07/16/2020,35,4,14,22,17
07/17/2020,31,4,14,20,15
07/18/2020,8,2,4,6,3
07/19/2020,6,2,2,3,3
07/20/2020,37,4,17,27,16
07/21/2020,44,4,21,27,17
07/22/2020,84,4,37,23,15
07/23/2020,76,4,31,23,20
07/24/2020,42,4,20,21,20
07/25/2020,10,2,4,5,4
07/26/2020,6,2,3,3,3
07/27/2020,34,4,14,19,17
07/28/2020,32,4,13,19,16
07/29/2020,29,4,13,20,17
07/30/2020,26,7,15,44,40
07/31/2020,26,7,21,41,63
08/01/2020,7,3,7,7,14
08/02/2020,5,3,4,4,8
08/03/2020,23,5,31,21,35
08/04/2020,21,4,24,18,32
08/05/2020,21,4,18,17,27
08/06/2020,18,5,15,18,29
08/07/2020,18,4,15,17,32
08/08/2020,5,2,4,4,7
08/09/2020,3,3,3,3,5
08/10/2020,19,5,15,15,26
08/11/2020,30,5,15,17,29
08/12/2020,49,4,15,17,30
08/13/2020,40,5,13,15,29
08/14/2020,33,5,11,14,26
08/15/2020,9,2,2,4,6
08/16/2020,6,3,2,3,4
08/17/2020,40,6,11,14,25
08/18/2020,50,6,11,20,24
08/19/2020,40,6,12,19,30
08/20/2020,52,5,11,15,28
08/21/2020,59,6,12,15,41
08/22/2020,14,3,3,4,13
08/23/2020,8,3,2,3,8
08/24/2020,43,7,11,16,44
08/25/2020,38,7,12,16,38
08/26/2020,41,7,14,18,35
08/27/2020,42,7,20,18,30
08/28/2020,49,6,17,15,35
08/29/2020,15,3,4,4,12
08/30/2020,13,3,4,3,11
08/31/2020,100,7,15,18,72
09/01/2020,94,7,15,18,61
09/02/2020,80,8,15,19,56
09/03/2020,83,8,17,21,58
09/04/2020,85,7,20,22,69
09/05/2020,25,3,5,5,13
09/06/2020,10,3,2,3,7
09/07/2020,15,3,3,4,9
09/08/2020,93,8,17,19,50
09/09/2020,82,8,17,18,48
09/10/2020,61,8,14,17,40
09/11/2020,46,7,13,16,34
09/12/2020,12,3,3,4,8
09/13/2020,7,3,3,2,5
09/14/2020,50,8,17,16,37
09/15/2020,55,8,12,16,44
09/16/2020,48,8,11,14,36
09/17/2020,42,9,11,17,36
09/18/2020,40,8,12,16,35
09/19/2020,11,3,3,4,8
09/20/2020,7,3,2,3,6
09/21/2020,57,8,14,17,38
09/22/2020,81,9,14,20,35
09/23/2020,82,8,11,18,34
09/24/2020,55,8,11,16,29
09/25/2020,37,6,10,15,32
09/26/2020,10,3,3,4,7
09/27/2020,7,3,2,3,5
09/28/2020,35,6,10,14,29
09/29/2020,34,6,9,13,27
09/30/2020,30,6,9,13,26
10/01/2020,34,6,9,14,26
10/02/2020,39,6,11,16,29
10/03/2020,9,3,3,4,5
10/04/2020,6,3,2,2,4
10/05/2020,31,6,9,14,25
10/06/2020,29,6,9,15,27
10/07/2020,28,6,9,15,26
10/08/2020,30,6,9,13,24
10/09/2020,26,4,9,15,26
10/10/2020,6,2,2,4,6
10/11/2020,5,2,1,3,5
10/12/2020,27,4,10,19,37
10/13/2020,28,5,11,20,51
10/14/2020,30,4,10,18,35
10/15/2020,29,4,8,15,28
10/16/2020,26,4,8,16,27
10/17/2020,7,2,3,5,6
10/18/2020,5,2,2,3,4
10/19/2020,27,5,9,15,27
10/20/2020,29,6,8,15,26
10/21/2020,47,5,9,16,25
10/22/2020,44,4,8,13,23
10/23/2020,30,5,7,12,22
10/24/2020,6,3,2,4,5
10/25/2020,4,2,2,3,3
10/26/2020,24,5,10,14,23
10/27/2020,23,4,25,15,25
10/28/2020,26,5,22,18,26
10/29/2020,23,7,13,32,41
10/30/2020,26,7,12,28,41
10/31/2020,6,2,2,4,8
11/01/2020,4,2,1,3,4
11/02/2020,24,4,8,18,27
11/03/2020,26,4,9,16,25
11/04/2020,16,3,7,13,18
11/05/2020,18,4,9,15,21
11/06/2020,18,3,9,12,21
11/07/2020,5,2,2,3,5
11/08/2020,4,2,2,3,4
11/09/2020,27,5,13,22,31
11/10/2020,23,4,11,20,28
11/11/2020,20,4,10,17,26
11/12/2020,19,4,9,14,22
11/13/2020,20,4,8,13,20
11/14/2020,5,2,2,4,5
11/15/2020,3,3,1,2,3
11/16/2020,32,5,9,15,23
11/17/2020,70,4,7,16,21
11/18/2020,50,4,8,15,22
11/19/2020,45,4,8,13,20
11/20/2020,37,4,7,12,17
11/21/2020,8,2,2,3,4
11/22/2020,5,2,1,3,3
11/23/2020,34,4,7,13,20
11/24/2020,50,4,10,16,26
11/25/2020,45,4,9,15,20
11/26/2020,14,2,2,4,5
11/27/2020,33,3,6,11,15
11/28/2020,9,2,2,3,4
11/29/2020,6,2,1,3,3
11/30/2020,36,4,7,13,21
12/01/2020,43,4,9,15,25
12/02/2020,40,4,8,14,24
12/03/2020,36,4,7,12,21
12/04/2020,38,4,7,11,21
12/05/2020,10,3,2,4,5
12/06/2020,7,2,1,2,3
12/07/2020,39,4,7,11,20
12/08/2020,55,4,7,11,20
12/09/2020,49,4,8,12,21
12/10/2020,49,5,7,12,20
12/11/2020,38,4,7,10,18
12/12/2020,11,2,2,3,4
12/13/2020,6,2,1,2,3
12/14/2020,38,4,7,12,18
12/15/2020,34,4,7,12,23
12/16/2020,33,4,8,13,22
12/17/2020,37,4,8,13,22
12/18/2020,62,4,8,13,21
12/19/2020,21,3,3,4,5
12/20/2020,9,2,1,3,4
12/21/2020,50,3,8,12,23
12/22/2020,47,3,9,12,35
12/23/2020,39,3,8,11,28
12/24/2020,29,3,7,8,20
12/25/2020,9,2,2,3,6
12/26/2020,6,2,2,4,4
12/27/2020,6,2,1,2,3
12/28/2020,31,3,8,14,27
12/29/2020,28,3,8,14,27
12/30/2020,33,3,8,13,22
12/31/2020,37,3,7,11,20
